detection_date,event_type,severity,variable,message
2026-06-08 21:47:02,feature_drift,critical,Close,"Feature drift detected on Close: PSI=2.7123, KS p-value=0.000000"
2026-06-08 21:47:02,feature_drift,critical,High,"Feature drift detected on High: PSI=2.7126, KS p-value=0.000000"
2026-06-08 21:47:02,feature_drift,critical,Low,"Feature drift detected on Low: PSI=2.7166, KS p-value=0.000000"
2026-06-08 21:47:02,feature_drift,critical,Open,"Feature drift detected on Open: PSI=2.7335, KS p-value=0.000000"
2026-06-08 21:47:02,feature_drift,critical,Volume,"Feature drift detected on Volume: PSI=1.0451, KS p-value=0.000000"
2026-06-08 21:47:02,feature_drift,critical,price_moving_average_20,"Feature drift detected on price_moving_average_20: PSI=2.7465, KS p-value=0.000000"
2026-06-08 21:47:02,feature_drift,critical,price_moving_std_20,"Feature drift detected on price_moving_std_20: PSI=0.5101, KS p-value=0.000000"
2026-06-08 21:47:02,feature_drift,critical,volume_moving_average_20,"Feature drift detected on volume_moving_average_20: PSI=2.8047, KS p-value=0.000000"
2026-06-08 21:47:02,feature_drift,critical,volume_moving_std_20,"Feature drift detected on volume_moving_std_20: PSI=0.5931, KS p-value=0.000000"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2018-12-09 00:00:00 and 2019-02-07 00:00:00: positive rate=0.0000, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2018-12-10 00:00:00 and 2019-02-08 00:00:00: positive rate=0.0000, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2018-12-13 00:00:00 and 2019-02-11 00:00:00: positive rate=0.0000, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2018-12-14 00:00:00 and 2019-02-12 00:00:00: positive rate=0.0000, baseline=0.0256"
