feature,train_mean,recent_mean,train_std,recent_std,ks_statistic,ks_pvalue,psi,psi_status,drift_detected,severity
volume_moving_average_20,54449151.1821758,32602256.744100895,52639477.94855159,25277441.443252694,0.309567527737835,1.3653799687688248e-78,2.804708640951129,significant_drift,True,critical
price_moving_average_20,1177.097523536772,1513.6648001612443,2213.6940199060928,2809.5311749617135,0.19490699309992243,3.8806245173425124e-31,2.7464587054401237,significant_drift,True,critical
Open,1182.7064619720522,1521.6766937142704,2223.565227814387,2823.0349882283285,0.18676742690107534,1.3098618361630324e-28,2.7334849294703836,significant_drift,True,critical
Low,1173.6853362159738,1513.3441313255978,2211.1945433187725,2809.181133966881,0.1892075528675564,2.3675151384024945e-29,2.7166450164968725,significant_drift,True,critical
High,1191.3126588421133,1530.5345527136515,2235.37027465929,2837.6679978146994,0.18703916519171568,1.0809773151282858e-28,2.7125652816003356,significant_drift,True,critical
Close,1182.7799558826619,1522.2122517493412,2224.0921272381624,2823.882650173209,0.18812369014859295,5.0609196091666e-29,2.712310692700938,significant_drift,True,critical
Volume,54324327.6695605,32393192.97803092,61584837.2299398,28919845.21754243,0.24934692304398098,7.946899482143099e-51,1.0450966694878043,significant_drift,True,critical
volume_moving_std_20,20286102.356401313,11446545.203997498,26273054.649176717,9737203.5233548,0.24202632439856656,7.043751781049327e-48,0.593051941771582,significant_drift,True,critical
price_moving_std_20,26.126876507153302,23.75247633283676,58.73265275330213,42.363171989891356,0.10960876308526932,4.2523983864156867e-10,0.5100773614700438,significant_drift,True,critical
rolling_return_std_20,0.0409866480977015,0.03013139534885927,0.06999632763580584,0.028769173984614448,0.09725603927865514,4.7465375043357306e-08,0.07435188992494962,stable,False,none
realized_volatility_20,0.0409866480977015,0.03013139534885927,0.06999632763580584,0.028769173984614448,0.09725603927865514,4.7465375043357306e-08,0.07435188992494962,stable,False,none
rolling_return_mean_20,0.0039356490285610436,-9.898553463870145e-05,0.020565925841546522,0.010444541447203488,0.06850586323374305,0.000326251049084385,0.04674365937069168,stable,False,none
high_low_range,0.04761314223089345,0.03600863342817218,0.07495495710240827,0.03767273312916555,0.0629843442542252,0.0012772233214427664,0.045914531344968645,stable,False,none
realized_volatility_5,0.035732086158857555,0.026798521520280647,0.07151438261995591,0.03094465766193051,0.0837064308157844,4.438154413651747e-06,0.044662165172508365,stable,False,none
volume_zscore,0.005488580760360725,0.031426841910960894,1.0747109438826878,1.0820615942669154,0.0551076865071674,0.007128100092938295,0.03239477855688066,stable,False,none
volatility_ratio,0.9361776169685956,0.9117869908110541,0.39234136972737477,0.36833749216376166,0.04589176295238024,0.03996141748436807,0.0296907133649049,stable,False,none
momentum_10,0.04648224921176316,0.001876013379138161,0.4541432877080246,0.1231441916389116,0.0408051135362754,0.09003334038067423,0.027811922152725294,stable,False,none
volatility_volume_interaction,0.042637767285608245,0.033096525105286365,0.12030050321482952,0.05917315137465269,0.06661804368739369,0.0005209633349123496,0.025138529832545276,stable,False,none
abnormal_volume,1.0272019548107356,1.029450355957525,0.60923997383296,0.6238657018887245,0.04943252833164168,0.021428599466011795,0.022833652043245577,stable,False,none
price_reversal,0.00017773964831408463,-7.391675860277158e-05,0.03868230695876056,0.00381140228984456,0.038553063137321215,0.12564523304630668,0.02196325346255044,stable,False,none
return,0.0038855827935440766,0.00028355009328528345,0.08162533103450342,0.04161834697481585,0.03584583454559662,0.18246806571917915,0.021479064464758422,stable,False,none
log_return,0.0015948579086115329,-0.0006116692343256537,0.0642086367981458,0.04286988333234943,0.03584583454559662,0.18246806571917915,0.021479064464758422,stable,False,none
return_volume_interaction,0.9684574265818173,0.9630321281078914,1.75685402168636,1.9454533995515941,0.05077002817160085,0.0166857530546847,0.0197678981380808,stable,False,none
open_close_body,-0.00018497436970628305,0.00019792858124044707,0.04892244618110589,0.031451448904774415,0.03833320014993066,0.1297135103472065,0.019175560393375982,stable,False,none
abnormal_return,-0.011458986832594912,0.0010353802628911355,0.9946619158038816,0.965260686299718,0.037050445310847856,0.15394118087493527,0.019049293296532294,stable,False,none
price_zscore,0.29471869652282,0.19188480286636206,1.3171323073143477,1.2864961383652689,0.045355791734122956,0.04377321036558994,0.018702282380785144,stable,False,none
momentum_5,0.02155847657914114,0.001402358502117405,0.24905118457765613,0.09268397406643829,0.03366640957119212,0.24117963682726568,0.01670538288131821,stable,False,none
volume_change,0.13709495255720305,0.07274514984936807,2.0672287719624403,0.5224525210045249,0.02771730564531332,0.4693100367616062,0.012537707998784396,stable,False,none
