window_start,window_end,total_count,positive_count,positive_rate,baseline_positive_rate,absolute_change,relative_change,label_drift_detected
2018-12-09,2019-02-07,31,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-10,2019-02-08,36,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-13,2019-02-11,41,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-14,2019-02-12,46,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-15,2019-02-13,51,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-16,2019-02-14,56,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-17,2019-02-15,61,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-20,2019-02-18,62,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-21,2019-02-19,67,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-22,2019-02-20,72,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-23,2019-02-21,77,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-24,2019-02-22,82,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-27,2019-02-25,87,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-28,2019-02-26,92,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-29,2019-02-27,97,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-30,2019-02-28,102,0,0.0,0.02563580874872838,-0.02563580874872838,-1.0,True
2018-12-31,2019-03-01,107,1,0.009345794392523364,0.02563580874872838,-0.016290014356205015,-0.6354398457202195,True
2019-01-03,2019-03-04,112,1,0.008928571428571428,0.02563580874872838,-0.016707237320156953,-0.6517148526077098,True
2019-01-04,2019-03-05,117,1,0.008547008547008548,0.02563580874872838,-0.017088800201719833,-0.6665988332654998,True
2019-01-05,2019-03-06,122,1,0.00819672131147541,0.02563580874872838,-0.01743908743725297,-0.680262815508717,True
2019-01-06,2019-03-07,127,1,0.007874015748031496,0.02563580874872838,-0.017761793000696885,-0.6928508936382952,True
2019-01-07,2019-03-08,132,2,0.015151515151515152,0.02563580874872838,-0.010484293597213229,-0.40897065897065893,False
2019-01-10,2019-03-11,137,3,0.021897810218978103,0.02563580874872838,-0.0037379985297502777,-0.14581160931525886,False
2019-01-11,2019-03-12,142,3,0.02112676056338028,0.02563580874872838,-0.0045090481853481,-0.17588866532528502,False
2019-01-12,2019-03-13,147,3,0.02040816326530612,0.02563580874872838,-0.00522764548342226,-0.2039196631033366,False
2019-01-13,2019-03-14,152,3,0.019736842105263157,0.02563580874872838,-0.005898966643465224,-0.23010651629072681,False
2019-01-14,2019-03-15,157,4,0.025477707006369428,0.02563580874872838,-0.00015810174235895286,-0.00616722272773217,False
2019-01-17,2019-03-18,162,4,0.024691358024691357,0.02563580874872838,-0.0009444507240370242,-0.036841073878110905,False
2019-01-18,2019-03-19,167,4,0.023952095808383235,0.02563580874872838,-0.001683712940345146,-0.06567816747457454,False
2019-01-19,2019-03-20,172,4,0.023255813953488372,0.02563580874872838,-0.002379994795240009,-0.09283868586194163,False
2019-01-20,2019-03-21,177,4,0.022598870056497175,0.02563580874872838,-0.003036938692231206,-0.11846471168505061,False
2019-01-21,2019-03-22,182,4,0.02197802197802198,0.02563580874872838,-0.003657786770706401,-0.1426827141112854,False
2019-01-24,2019-03-25,187,4,0.0213903743315508,0.02563580874872838,-0.00424543441717758,-0.16560563619387147,False
2019-01-25,2019-03-26,192,4,0.020833333333333332,0.02563580874872838,-0.004802475415395049,-0.18733465608465608,False
2019-01-26,2019-03-27,197,4,0.02030456852791878,0.02563580874872838,-0.005331240220809601,-0.20796068004189833,False
2019-01-27,2019-03-28,202,4,0.019801980198019802,0.02563580874872838,-0.005833828550708579,-0.2275656137042275,False
2019-01-28,2019-03-29,207,4,0.01932367149758454,0.02563580874872838,-0.006312137251143841,-0.24622344912199984,False
